Time,sensor_m_flow.m_flow,sensor_m_flow6.m_flow,sensor_m_flow3.m_flow,sensor_m_flow4.m_flow
10010,0,2.0805506877448385e-26,0.8555031418800354,-0.8555031418800354
10020,0,-1.0513695323538257e-25,0.85777497291564941,-0.85777497291564941
10030,0,-2.2140111001365026e-25,0.86025243997573853,-0.86025243997573853
10040,0,-2.0197606349801998e-25,0.8637663722038269,-0.8637663722038269
10050,0,-1.8350048503753305e-25,0.86707377433776855,-0.86707377433776855
10060,0,-1.6595721690750092e-25,0.87018173933029175,-0.87018173933029175
10070,0,-1.4932960674725243e-25,0.87309718132019043,-0.87309718132019043
10080,0,-1.3360138430061741e-25,0.87582689523696899,-0.87582689523696899
10090,0,-1.1875672304568485e-25,0.87837767601013184,-0.87837767601013184
10100,0,-1.0478014158718979e-25,0.88075602054595947,-0.88075602054595947
10110,0,-9.1656559123295708e-26,0.88296842575073242,-0.88296842575073242
10120,0,-7.9371209163932993e-26,0.8850213885307312,-0.8850213885307312
10130,0,-6.7909645693774785e-26,0.88692116737365723,-0.88692116737365723
10140,0,-5.7257724683309505e-26,0.88867396116256714,-0.88867396116256714
10150,0,-4.7401591762889209e-26,0.89028596878051758,-0.89028596878051758
10160,0,-3.8327651407850478e-26,0.89176332950592041,-0.89176332950592041
10170,0,-3.0022551531074865e-26,0.89311200380325317,-0.89311200380325317
10180,0,-2.2473168075549337e-26,0.89433807134628296,-0.89433807134628296
10190,0,-1.5666595769902544e-26,0.89544731378555298,-0.89544731378555298
10200,0,-9.5901227061295534e-27,0.89644575119018555,-0.89644575119018555
10210,0,-4.231218398826192e-27,0.8973391056060791,-0.8973391056060791
10212,0,-3.2444550954957699e-27,0.89750570058822632,-0.89750570058822632
10212,0,-3.2444550954957699e-27,0.89750570058822632,-0.89750570058822632
10220,0,-1.0297063343519032e-20,0.90186864137649536,-0.90186864137649536
10230,0,-2.0110189980906618e-22,0.90208947658538818,-0.90208947658538818
10240,0,5.6626364541677493e-24,0.90202164649963379,-0.90202164649963379
10250,0,1.9085659720150088e-23,0.90201926231384277,-0.90201926231384277
10259,0,2.8339932149704338e-23,0.90201973915100098,-0.90201973915100098
10259,0,2.8339932149704338e-23,0.90201973915100098,-0.90201973915100098
10260,0,1.7188728499854003e-23,0.90196520090103149,-0.90196520090103149
10270,0,1.4355802919371934e-25,0.89943712949752808,-0.89943712949752808
10280,0,5.3488694419211262e-27,0.89624124765396118,-0.89624124765396118
10290,0,-8.2633830632147794e-25,0.89309298992156982,-0.89309298992156982
10300,0,-2.5173748029823526e-22,0.88995230197906494,-0.88995230197906494
