Time,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[1].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[100].T,thermocline_Insulation.thermocline_fluidprops_heaters_newHC_120C.mediums[200].T,thermocline_Insulation.simpleWall[1].material.T,thermocline_Insulation.simpleWall[100].material.T,thermocline_Insulation.simpleWall[200].material.T
1704.6416015625,492.87655639648438,492.87655639648438,492.87655639648438,492.81573486328125,492.81573486328125,492.81573486328125
1704.642578125,492.87655639648438,492.87655639648438,492.87655639648438,492.81573486328125,492.81573486328125,492.81573486328125
1704.642578125,492.87655639648438,492.87655639648438,492.87655639648438,492.81573486328125,492.81573486328125,492.81573486328125
1710,497.06613159179688,492.87542724609375,492.87542724609375,493.36871337890625,492.81491088867188,492.81491088867188
1720,500.18023681640625,492.87384033203125,492.87384033203125,494.8720703125,492.81338500976563,492.81338500976563
1730,500.82073974609375,492.87222290039063,492.87222290039063,496.15548706054688,492.81182861328125,492.81182861328125
1740,501.703857421875,492.87057495117188,492.87057495117188,497.33932495117188,492.81024169921875,492.81024169921875
1750,502.94989013671875,492.86895751953125,492.86895751953125,498.53207397460938,492.80868530273438,492.80868530273438
1760,504.52389526367188,492.8673095703125,492.8673095703125,499.8021240234375,492.80709838867188,492.80709838867188
1770,506.40982055664063,492.86569213867188,492.86569213867188,501.20013427734375,492.80551147460938,492.80551147460938
1780,508.59161376953125,492.86404418945313,492.86404418945313,502.76278686523438,492.80389404296875,492.80389404296875
1790,511.05322265625,492.8624267578125,492.8624267578125,504.515625,492.80230712890625,492.80230712890625
1800,513.77789306640625,492.86077880859375,492.86077880859375,506.47531127929688,492.80072021484375,492.80072021484375
1810,516.74835205078125,492.85916137695313,492.85916137695313,508.65130615234375,492.79910278320313,492.79910278320313
1820,519.94659423828125,492.8575439453125,492.8575439453125,511.04730224609375,492.79751586914063,492.79751586914063
1830,523.35400390625,492.85589599609375,492.85589599609375,513.6619873046875,492.7958984375,492.7958984375
1840,526.95159912109375,492.85427856445313,492.85427856445313,516.49090576171875,492.79428100585938,492.79428100585938
1850,530.7203369140625,492.8526611328125,492.8526611328125,519.52581787109375,492.79269409179688,492.79269409179688
1860,534.64166259765625,492.85104370117188,492.85104370117188,522.75665283203125,492.79107666015625,492.79107666015625
1870,538.697021484375,492.84939575195313,492.84939575195313,526.17132568359375,492.78945922851563,492.78945922851563
1880,542.86724853515625,492.8477783203125,492.8477783203125,529.75628662109375,492.78787231445313,492.78787231445313
1890,547.1331787109375,492.84616088867188,492.84616088867188,533.496337890625,492.7862548828125,492.7862548828125
1900,551.474609375,492.84454345703125,492.84454345703125,537.3758544921875,492.78463745117188,492.78463745117188
1910,555.872802734375,492.8428955078125,492.8428955078125,541.37744140625,492.78302001953125,492.78302001953125
1920,560.31292724609375,492.84127807617188,492.84127807617188,545.48626708984375,492.78143310546875,492.78143310546875
1930,564.76959228515625,492.83966064453125,492.83966064453125,549.6802978515625,492.77981567382813,492.77981567382813
1940,569.22509765625,492.83804321289063,492.83804321289063,553.9410400390625,492.7781982421875,492.7781982421875
1950,573.66595458984375,492.83642578125,492.83642578125,558.25244140625,492.776611328125,492.776611328125
1960,578.07861328125,492.83480834960938,492.83480834960938,562.5985107421875,492.77499389648438,492.77499389648438
1970,582.44964599609375,492.83316040039063,492.83316040039063,566.9632568359375,492.77337646484375,492.77337646484375
1980,586.790283203125,492.83154296875,492.83154296875,571.361572265625,492.77175903320313,492.77175903320313
1990,591.06158447265625,492.82992553710938,492.82992553710938,575.75,492.77017211914063,492.77017211914063
2000,595.22113037109375,492.82830810546875,492.82830810546875,580.07525634765625,492.7685546875,492.7685546875
2010,599.26715087890625,492.82669067382813,492.82669067382813,584.3323974609375,492.76693725585938,492.76693725585938
2020,603.19781494140625,492.8250732421875,492.8250732421875,588.5162353515625,492.76531982421875,492.76531982421875
2030,607.01141357421875,492.82345581054688,492.82345581054688,592.62188720703125,492.76373291015625,492.76373291015625
2040,610.70599365234375,492.82183837890625,492.82183837890625,596.6441650390625,492.76211547851563,492.76211547851563
2050,614.27978515625,492.82022094726563,492.82022094726563,600.57806396484375,492.760498046875,492.760498046875
2060,617.7310791015625,492.818603515625,492.818603515625,604.41864013671875,492.7589111328125,492.7589111328125
2070,621.05792236328125,492.81698608398438,492.81698608398438,608.1607666015625,492.75729370117188,492.75729370117188
2080,624.2586669921875,492.81533813476563,492.81533813476563,611.7994384765625,492.75567626953125,492.75567626953125
2090,627.331298828125,492.813720703125,492.813720703125,615.32958984375,492.75408935546875,492.75408935546875
2100,630.2691650390625,492.81210327148438,492.81210327148438,618.74383544921875,492.75247192382813,492.75247192382813
2110,633.0384521484375,492.81048583984375,492.81048583984375,622.00726318359375,492.7508544921875,492.7508544921875
2120,635.6571044921875,492.80886840820313,492.80886840820313,625.1177978515625,492.749267578125,492.749267578125
